batch size,epoch,training loss,validation loss,F1, train time
16,0.16,5.907,5.272,,
16,0.32,5.083,4.701,,
16,0.48,4.739,4.4938,,
16,0.64,4.533,4.3534,,
16,0.8,4.2003,4.2116,,
16,0.96,4.275,4.126,,
16,1.12,4.1071,4.0298,,
16,1.28,4.1155,3.9603,,
16,1.44,3.985,3.9217,,
16,1.6,3.9746,3.8734,,
16,1.76,3.8767,3.8354,,
16,1.92,3.9084,3.786,,
16,2.08,3.8628,3.737,,
16,2.24,3.6916,3.7005,,
16,2.4,3.681,3.673,,
16,2.56,3.726,3.6428,,
16,2.72,3.574,3.6196,,
16,2.88,3.5321,3.6082,,
16,3.04,3.4648,3.5897,,
16,3.2,3.4152,3.5573,,
16,3.36,3.4206,3.5451,,
16,3.52,3.3097,3.5389,,
16,3.68,3.5363,3.5276,,
16,3.84,3.3406,3.5149,,
16,4,3.332,3.5136,,
16,4.16,3.1522,3.49608,,
16,4.32,3.2145,3.485,,
16,4.48,3.247,3.4776,,
16,4.64,3.2568,3.4734,,
16,4.8,3.1989,3.4726,,
16,4.96,3.2238,3.4714,,
